Date,Open,High,Low,Close,Adj Close,Volume,SekPln
03-01-2000,507.37,525.42,498.34,501.05,320.52,37000699,0.4942
04-01-2000,510.08,510.08,492.02,499.24,319.37,54631601,0.4921
05-01-2000,510.08,510.08,492.02,499.24,319.37,54631601,0.4936
06-01-2000,510.08,510.08,492.02,499.24,319.37,54631601,0.4878
07-01-2000,424.31,468.55,415.28,464.03,296.84,79559922,0.4845
10-01-2000,473.06,483.89,466.74,469.45,300.31,47660036,0.4813
11-01-2000,479.38,479.38,465.84,472.16,302.04,37089853,0.4843
12-01-2000,456.81,474.87,455.01,473.06,302.62,45684227,0.4839
13-01-2000,473.06,486.60,473.06,481.19,307.82,47022234,0.483
14-01-2000,496.53,501.95,486.60,499.24,319.37,47118093,0.4815
17-01-2000,499.24,523.62,498.34,523.62,334.96,37320393,0.4818
18-01-2000,523.62,527.23,496.53,496.53,317.63,50025779,0.4831
19-01-2000,493.82,511.88,489.31,506.46,323.99,59240893,0.4812
20-01-2000,514.59,522.71,509.17,513.69,328.61,45717586,0.4829
21-01-2000,508.27,520.01,501.05,510.98,326.87,36032852,0.4791
24-01-2000,516.39,537.16,513.69,529.94,339.00,43032814,0.4803
25-01-2000,520.01,529.03,519.10,521.81,333.80,35125228,0.4853
26-01-2000,532.64,541.67,527.23,531.74,340.16,50540943,0.4847
27-01-2000,532.64,537.16,519.10,520.01,332.65,33552207,0.4826
28-01-2000,550.70,578.69,549.80,567.85,363.26,107470631,0.4751
31-01-2000,558.83,568.76,557.02,562.44,359.79,55937693,0.4746
01-02-2000,595.84,611.19,564.24,597.65,382.32,72381234,0.4838
02-02-2000,631.95,654.52,622.02,641.88,410.61,76710096,0.4843
03-02-2000,640.98,659.94,634.66,650.01,415.81,57813501,0.4878
04-02-2000,668.06,668.06,649.10,658.13,421.01,41727803,0.4859
07-02-2000,669.87,677.99,663.55,677.09,433.14,29373524,0.4849
08-02-2000,669.87,685.22,666.26,672.58,430.25,31252708,0.4814
09-02-2000,693.34,696.95,672.58,681.60,436.03,41122203,0.4853
10-02-2000,685.22,693.34,678.90,690.63,441.80,34401957,0.4831
11-02-2000,705.08,716.81,700.56,715.01,457.39,41148437,0.4849
14-02-2000,696.95,702.37,684.31,684.31,437.76,24599033,0.4793
15-02-2000,677.09,692.44,650.91,651.81,416.97,51298548,0.4768
16-02-2000,677.09,678.90,650.91,671.67,429.67,49049337,0.4788
17-02-2000,677.09,694.24,666.26,678.90,434.29,42451025,0.4752
18-02-2000,684.31,707.79,682.51,702.37,449.31,34304083,0.4748
21-02-2000,686.12,706.88,686.12,705.98,451.62,60894845,0.4733
22-02-2000,706.88,723.13,689.73,693.34,443.53,88148412,0.4783
23-02-2000,705.98,709.59,692.44,699.66,447.58,43298094,0.476
24-02-2000,709.59,724.04,706.88,712.30,455.66,74143194,0.4759
25-02-2000,724.04,748.41,721.33,748.41,478.76,43649698,0.4772
28-02-2000,767.37,771.88,743.90,758.34,485.11,37480794,0.481
29-02-2000,768.27,771.88,752.02,757.44,484.54,32286630,0.476
01-03-2000,758.34,775.49,752.93,774.59,495.51,36322515,0.4739
02-03-2000,771.88,808.00,759.24,806.19,515.72,26468669,0.4707
03-03-2000,795.36,826.95,793.55,825.15,527.85,35868317,0.4686
06-03-2000,832.37,832.37,818.83,826.05,528.43,31040941,0.4691
07-03-2000,823.34,829.66,817.93,826.05,528.43,25126515,0.4723
08-03-2000,811.61,814.31,774.59,785.43,502.44,52723303,0.4704
09-03-2000,798.97,798.97,763.76,774.59,495.51,34371181,0.4682
10-03-2000,798.97,804.38,767.37,779.11,498.40,41396540,0.4696
13-03-2000,798.97,804.38,767.37,779.11,498.40,41396540,0.4708
14-03-2000,763.76,777.30,756.54,767.37,490.89,23150560,0.472
15-03-2000,735.77,751.12,720.42,723.13,462.59,61639870,0.4696
16-03-2000,704.17,735.77,677.99,680.70,435.45,61661209,0.4694
17-03-2000,739.38,739.38,710.49,716.81,458.55,43619986,0.4714
20-03-2000,733.06,770.08,730.36,765.56,489.73,26899968,0.4695
21-03-2000,740.29,758.34,730.36,735.77,470.68,25077689,0.4667
22-03-2000,773.69,774.59,749.31,754.73,482.80,23513387,0.4668
23-03-2000,771.88,774.59,757.44,769.18,492.04,18568828,0.4682
24-03-2000,766.47,783.62,756.54,781.81,500.13,33794297,0.4727
27-03-2000,789.94,798.06,774.59,779.11,498.40,34084075,0.4677
28-03-2000,776.40,786.33,731.26,747.51,478.18,64293632,0.4734
29-03-2000,753.83,754.73,729.45,735.77,470.68,44905010,0.4727
30-03-2000,704.17,709.59,682.51,693.34,443.53,66953602,0.4788
31-03-2000,668.06,703.27,660.84,685.22,438.34,71655433,0.4779
03-04-2000,723.13,723.13,660.84,664.45,426.18,62433878,0.4771
04-04-2000,659.04,673.48,630.15,634.66,407.07,72467425,0.4865
05-04-2000,640.08,691.54,601.26,614.80,394.33,92600430,0.4859
06-04-2000,640.98,687.92,633.76,681.60,437.18,56566169,0.4828
07-04-2000,687.02,713.20,687.02,707.79,453.97,44758278,0.4787
10-04-2000,711.40,724.04,705.98,711.40,456.29,30309518,0.4822
11-04-2000,672.58,681.60,643.69,664.45,426.18,62075743,0.474
12-04-2000,677.99,683.41,637.37,643.69,412.86,52817323,0.4777
13-04-2000,613.90,630.15,603.06,615.70,394.91,77966546,0.4801
17-04-2000,555.21,624.73,551.60,605.77,388.54,68730777,0.4875
18-04-2000,632.85,640.98,610.28,635.56,407.65,64062021,0.4888
19-04-2000,659.04,668.06,650.01,667.16,427.91,48019004,0.4893
20-04-2000,659.04,659.94,636.47,639.17,409.96,27553145,0.4889
25-04-2000,609.38,634.66,609.38,631.95,405.33,35758001,0.4841
26-04-2000,651.81,675.29,650.01,664.45,426.18,43101858,0.4842
27-04-2000,657.23,705.98,655.42,677.09,434.28,80717753,0.4906
28-04-2000,740.29,756.68,717.72,750.22,481.18,113277639,0.5012
02-05-2000,740.29,757.44,736.67,742.99,476.55,53852424,0.5031
03-05-2000,723.13,733.06,707.79,723.13,463.81,59408843,0.4975
04-05-2000,712.30,724.04,705.08,711.40,456.29,47873721,0.502
05-05-2000,735.77,735.77,714.11,723.13,463.81,43718720,0.5091
08-05-2000,722.23,722.23,682.51,684.31,438.91,7401476,0.4926
10-05-2000,680.70,680.70,631.95,646.40,414.59,13266716,0.4867
11-05-2000,621.12,648.20,606.67,628.34,403.01,16429479,0.4857
12-05-2000,644.59,668.06,630.15,653.62,419.23,11049364,0.4971
15-05-2000,637.37,650.01,631.95,631.95,405.33,5557504,0.4817
16-05-2000,660.84,689.73,655.42,689.73,442.39,5194665,0.4868
17-05-2000,704.17,709.59,677.09,687.92,441.23,7540446,0.4925
18-05-2000,700.56,718.62,693.34,695.15,445.86,7399029,0.4914
19-05-2000,682.51,686.12,633.76,644.59,413.44,12998033,0.4938
22-05-2000,639.17,650.01,588.62,601.26,385.64,16024410,0.4902
23-05-2000,628.34,640.98,615.70,635.56,407.65,10364016,0.491
24-05-2000,603.06,612.09,585.01,592.23,379.85,13909157,0.4886
25-05-2000,624.73,640.98,606.67,626.53,401.86,7909952,0.4962
26-05-2000,604.87,613.90,599.45,601.26,385.64,7861832,0.4987
29-05-2000,613.90,619.31,606.67,613.90,393.75,3493245,0.4974
30-05-2000,621.12,657.23,621.12,655.42,420.39,9156304,0.4922
31-05-2000,682.51,689.73,659.04,659.04,422.70,6268682,0.4916
02-06-2000,696.95,724.04,678.90,716.81,459.76,11506550,0.4925
05-06-2000,724.04,725.84,695.15,696.95,447.02,5936153,0.4879
06-06-2000,711.40,720.42,698.76,711.40,456.29,7121149,0.4985
07-06-2000,705.98,713.20,696.95,705.98,452.81,6596207,0.5014
08-06-2000,718.62,734.87,713.20,716.81,459.76,8339531,0.5029
09-06-2000,715.01,729.45,707.79,716.81,459.76,6339260,0.5071
13-06-2000,702.37,704.17,686.12,691.54,443.55,6809919,0.5132
14-06-2000,698.76,702.37,687.92,695.15,445.86,8859512,0.5182
15-06-2000,693.34,700.56,666.26,671.67,430.81,7468908,0.5099
16-06-2000,675.29,682.51,664.45,666.26,427.33,7365652,0.5122
20-06-2000,675.29,707.79,669.87,702.37,450.50,10307364,0.5072
21-06-2000,689.73,696.95,671.67,686.12,440.07,9039699,0.5057
22-06-2000,696.95,704.17,655.42,659.04,422.70,8944783,0.498
26-06-2000,633.76,651.81,628.34,644.59,413.44,7762901,0.4976
27-06-2000,639.17,646.40,621.12,628.34,403.01,7927680,0.4968
28-06-2000,626.53,662.65,615.70,651.81,418.07,6856298,0.494
29-06-2000,628.34,630.15,594.03,601.26,385.64,19805600,0.4963
30-06-2000,612.09,633.76,610.28,630.15,404.17,7330295,0.4955
03-07-2000,635.56,662.65,630.15,662.65,425.02,4015907,0.4887
04-07-2000,666.26,682.51,662.65,668.06,428.49,3841634,0.4904
05-07-2000,668.06,684.31,640.98,648.20,415.75,5226239,0.4878
06-07-2000,644.59,657.23,635.56,653.62,419.23,4987393,0.4868
10-07-2000,696.95,700.56,689.73,693.34,444.70,3465723,0.484
11-07-2000,684.31,687.92,660.84,675.29,433.12,4424396,0.4799
12-07-2000,671.67,696.95,671.67,693.34,444.70,4932783,0.4864
